0	, -44.9897
2.46607	, -41.7897
4.93213	, -39.3897
7.3982	, -44.5897
9.86427	, -54.5897
12.33033	, -50.1897
14.7964	, -55.3897
17.26247	, -66.9897
19.72854	, -66.9897
22.1946	, -66.9897
24.66067	, -61.7897
27.12674	, -61.7897
29.5928	, -62.9897
32.05887	, -66.9897
34.52494	, -62.9897
36.991	, -66.9897
39.45707	, -66.9897
41.92314	, -56.5897
44.38921	, -55.7897
46.85528	, -63.3897
49.32135	, -66.9897
51.78742	, -66.9897
54.25349	, -63.3897
56.71956	, -56.5897
59.18563	, -49.3897
61.6517	, -57.3897
64.11777	, -62.9897
66.58384	, -62.9897
69.04991	, -66.9897
71.51598	, -66.9897
73.98205	, -65.7897
76.44812	, -66.9897
78.91419	, -66.9897
81.38026	, -62.9897
83.84633	, -61.7897
86.3124	, -55.7897
88.77847	, -51.7897
91.24454	, -52.9897
93.71061	, -52.1897
96.17668	, -52.9897
98.64275	, -52.9897
101.10882	, -50.1897
103.57489	, -53.3897
106.04096	, -54.9897
108.50703	, -66.9897
110.9731	, -56.1897
113.43917	, -54.9897
115.90524	, -52.5897
118.37131	, -52.1897
120.83738	, -56.5897
123.30345	, -54.9897
125.76952	, -52.1897
128.23559	, -55.7897
130.70166	, -58.1897
133.16773	, -56.9897
135.6338	, -56.9897
138.09987	, -61.7897
140.56594	, -66.9897
143.03201	, -61.7897
145.49808	, -56.9897
147.96415	, -62.9897
150.43022	, -66.9897
152.89629	, -65.7897
155.36236	, -66.9897
157.82843	, -60.5897
160.2945	, -58.1897
162.76057	, -56.9897
165.22664	, -62.9897
167.69271	, -62.9897
170.15878	, -65.7897
172.62485	, -66.9897
175.09092	, -66.9897
177.55699	, -57.7897
180.02306	, -47.7897
182.48913	, -46.5897
184.9552	, -52.5897
187.42127	, -53.7897
189.88734	, -58.9897
192.35341	, -57.3897
194.81948	, -54.5897
197.28555	, -54.9897
199.75162	, -54.9897
202.21769	, -57.3897
204.68376	, -55.7897
207.14983	, -58.9897
209.6159	, -66.9897
212.08197	, -57.3897
214.54804	, -59.7897
217.01411	, -60.9897
219.48018	, -57.7897
221.94625	, -66.9897
224.41232	, -61.7897
226.87839	, -61.7897
229.34446	, -59.7897
231.81053	, -66.9897
234.2766	, -56.5897
236.74267	, -60.5897
239.20874	, -66.9897
241.67481	, -58.1897
244.14088	, -58.9897
246.60695	, -62.9897
249.07302	, -58.9897
251.53909	, -66.9897
254.00516	, -65.7897
256.47123	, -55.7897
258.9373	, -55.3897
261.40337	, -63.3897
263.86944	, -66.9897
266.33551	, -57.3897
268.80158	, -56.5897
271.26765	, -52.1897
273.73372	, -52.1897
276.19979	, -60.9897
278.66586	, -65.7897
281.13193	, -66.9897
283.598	, -66.9897
286.06407	, -58.1897
288.53014	, -58.9897
290.99621	, -55.7897
293.46228	, -54.5897
295.92835	, -60.9897
298.39442	, -66.9897
300.86049	, -65.7897
303.32656	, -65.7897
305.79263	, -62.9897
308.2587	, -66.9897
310.72477	, -65.7897
313.19084	, -65.7897
315.65691	, -60.5897
318.12298	, -66.9897
320.58905	, -65.7897
323.05512	, -63.7897
325.52119	, -60.5897
327.98726	, -62.9897
330.45333	, -61.7897
332.9194	, -63.7897
335.38547	, -66.9897
337.85154	, -66.9897
340.31761	, -59.7897
342.78368	, -58.9897
345.24975	, -55.7897
347.71582	, -62.9897
350.18189	, -63.3897
352.64796	, -66.9897
355.11403	, -66.9897
357.5801	, -54.1897
360.04617	, -52.9897
362.51224	, -56.5897
364.97831	, -50.9897
367.44438	, -45.7897
369.91045	, -44.9897
372.37652	, -49.3897
374.84259	, -49.3897
377.30866	, -49.3897
379.77473	, -60.5897
382.2408	, -61.7897
384.70687	, -58.9897
387.17294	, -57.3897
389.63901	, -51.7897
392.10508	, -56.9897
394.57115	, -60.5897
397.03722	, -55.3897
399.50329	, -60.5897
401.96936	, -65.7897
404.43543	, -61.7897
406.9015	, -66.9897
409.36757	, -66.9897
411.83364	, -66.9897
414.29971	, -66.9897
416.76578	, -66.9897
419.23185	, -66.9897
421.69792	, -61.7897
424.16399	, -65.7897
426.63006	, -66.9897
429.09613	, -66.9897
431.5622	, -56.5897
434.02827	, -58.9897
436.49434	, -51.3897
438.96041	, -52.5897
441.42648	, -52.9897
443.89255	, -55.7897
446.35862	, -58.9897
448.82469	, -46.1897
451.29076	, -47.3897
453.75683	, -49.7897
456.2229	, -58.1897
458.68897	, -53.7897
461.15504	, -59.7897
463.62111	, -62.9897
466.08718	, -52.9897
468.55325	, -55.3897
471.01932	, -57.7897
473.48539	, -63.7897
475.95146	, -51.7897
478.41753	, -55.7897
480.8836	, -52.1897
483.34967	, -52.9897
485.81574	, -62.9897
488.28181	, -60.5897
490.74788	, -62.9897
493.21395	, -56.5897
495.68002	, -62.9897
498.14609	, -62.9897
500.61216	, -65.7897
503.07823	, -66.9897
505.5443	, -66.9897
508.01037	, -65.7897
510.47644	, -57.3897
512.94251	, -65.7897
515.40858	, -57.7897
517.87465	, -54.1897
520.34072	, -54.1897
522.80679	, -62.9897
525.27286	, -56.9897
527.73893	, -58.9897
530.205	, -63.3897
532.67107	, -55.3897
535.13714	, -61.7897
537.60321	, -50.5897
540.06928	, -58.1897
542.53535	, -48.9897
545.00142	, -42.1897
547.46749	, -41.3897
549.93356	, -47.3897
552.39963	, -58.9897
554.8657	, -49.7897
557.33177	, -49.3897
559.79784	, -58.9897
562.26391	, -58.1897
564.72998	, -60.5897
567.19605	, -63.7897
569.66212	, -60.9897
572.12819	, -63.3897
574.59426	, -58.9897
577.06033	, -58.1897
579.5264	, -58.1897
581.99247	, -66.9897
584.45854	, -60.9897
586.92461	, -66.9897
589.39068	, -65.7897
591.85675	, -65.7897
594.32282	, -66.9897
596.78889	, -66.9897
599.25496	, -65.7897
601.72103	, -63.3897
604.1871	, -66.9897
606.65317	, -66.9897
609.11924	, -65.7897
611.58531	, -58.9897
614.05138	, -54.9897
616.51745	, -66.9897
618.98352	, -66.9897
621.44959	, -57.3897
623.91566	, -55.7897
626.38173	, -66.9897
628.8478	, -59.7897
631.31387	, -65.7897
633.77994	, -53.7897
636.24601	, -56.9897
638.71208	, -56.5897
641.17815	, -57.7897
643.64422	, -54.5897
646.11029	, -52.9897
648.57636	, -52.9897
651.04243	, -65.7897
653.5085	, -57.7897
655.97457	, -57.7897
658.44064	, -65.7897
660.90671	, -66.9897
663.37278	, -66.9897
665.83885	, -65.7897
668.30492	, -66.9897
670.77099	, -63.3897
673.23706	, -66.9897
675.70313	, -57.7897
678.1692	, -59.7897
680.63527	, -59.7897
683.10134	, -66.9897
685.56741	, -61.7897
688.03348	, -59.7897
690.49955	, -61.7897
692.96562	, -59.7897
695.43169	, -65.7897
697.89776	, -58.9897
700.36383	, -66.9897
702.8299	, -59.7897
705.29597	, -63.3897
707.76204	, -66.9897
710.22811	, -66.9897
712.69418	, -62.9897
715.16025	, -61.7897
717.62632	, -66.9897
720.09239	, -66.9897
722.55846	, -66.9897
725.02453	, -63.3897
727.4906	, -65.7897
729.95667	, -59.7897
732.42274	, -66.9897
734.88881	, -58.9897
737.35488	, -55.7897
739.82095	, -58.9897
742.28702	, -55.7897
744.75309	, -63.7897
747.21916	, -66.9897
749.68523	, -58.9897
752.1513	, -57.3897
754.61737	, -66.9897
757.08344	, -66.9897
759.54951	, -65.7897
762.01558	, -66.9897
764.48165	, -66.9897
766.94772	, -66.9897
769.41379	, -58.9897
771.87986	, -66.9897
774.34593	, -63.7897
776.812	, -63.3897
779.27807	, -62.9897
781.74414	, -65.7897
784.21021	, -66.9897
786.67628	, -63.7897
789.14235	, -66.9897
791.60842	, -66.9897
794.07449	, -66.9897
796.54056	, -65.7897
799.00663	, -66.9897
801.4727	, -65.7897
803.93877	, -66.9897
806.40484	, -66.9897
808.87091	, -66.9897
811.33698	, -66.9897
813.80305	, -66.9897
816.26912	, -66.9897
818.73519	, -63.7897
821.20126	, -65.7897
823.66733	, -65.7897
826.1334	, -65.7897
828.59947	, -62.9897
831.06554	, -66.9897
833.53161	, -66.9897
835.99768	, -65.7897
838.46375	, -66.9897
840.92982	, -65.7897
843.39589	, -62.9897
845.86196	, -65.7897
848.32803	, -65.7897
850.7941	, -66.9897
853.26017	, -66.9897
855.72624	, -66.9897
858.19231	, -66.9897
860.65838	, -66.9897
863.12445	, -66.9897
865.59052	, -66.9897
868.05659	, -65.7897
870.52266	, -66.9897
872.98873	, -66.9897
875.4548	, -66.9897
877.92087	, -63.3897
880.38694	, -66.9897
882.85301	, -63.3897
885.31908	, -58.9897
887.78515	, -51.7897
890.25122	, -32.9897
892.71729	, -14.5897
895.18336	, -11.7897
897.64943	, -21.3897
900.1155	, -46.1897
902.58157	, -53.3897
905.04764	, -60.9897
907.51371	, -65.7897
909.97978	, -66.9897
912.44585	, -66.9897
914.91192	, -66.9897
917.37799	, -63.3897
919.84406	, -62.9897
922.31013	, -66.9897
924.7762	, -66.9897
927.24227	, -62.9897
929.70834	, -62.9897
932.17441	, -66.9897
934.64048	, -66.9897
937.10655	, -66.9897
939.57262	, -66.9897
942.03869	, -66.9897
944.50476	, -66.9897
946.97083	, -62.9897
949.4369	, -65.7897
951.90297	, -63.7897
954.36904	, -63.3897
956.83511	, -62.9897
959.30118	, -63.7897
961.76725	, -63.7897
964.23332	, -65.7897
966.69939	, -66.9897
969.16546	, -66.9897
971.63153	, -66.9897
974.0976	, -65.7897
976.56367	, -62.9897
979.02974	, -66.9897
981.49581	, -66.9897
983.96188	, -65.7897
986.42795	, -66.9897
988.89402	, -66.9897
991.36009	, -66.9897
993.82616	, -66.9897
996.29223	, -66.9897
998.7583	, -65.7897
1001.22437	, -65.7897
1003.69044	, -62.9897
1006.15651	, -57.3897
1008.62258	, -56.9897
1011.08865	, -55.7897
1013.55472	, -56.9897
1016.02079	, -66.9897
1018.48686	, -65.7897
1020.95293	, -65.7897
1023.419	, -66.9897
1025.88507	, -60.9897
1028.35114	, -65.7897
1030.81721	, -66.9897
1033.28328	, -63.7897
1035.74935	, -63.3897
1038.21542	, -63.3897
1040.68149	, -65.7897
1043.14756	, -62.9897
1045.61363	, -66.9897
1048.0797	, -66.9897
1050.54577	, -66.9897
1053.01184	, -66.9897
1055.47791	, -66.9897
1057.94398	, -66.9897
1060.41005	, -65.7897
1062.87612	, -60.9897
1065.34219	, -66.9897
1067.80826	, -66.9897
1070.27433	, -66.9897
1072.7404	, -66.9897
1075.20647	, -60.5897
1077.67254	, -62.9897
1080.13861	, -66.9897
1082.60468	, -62.9897
1085.07075	, -63.7897
1087.53682	, -62.9897
1090.00289	, -66.9897
1092.46896	, -66.9897
1094.93503	, -59.7897
1097.4011	, -56.5897
1099.86717	, -57.7897
1102.33324	, -60.5897
1104.79931	, -66.9897
1107.26538	, -65.7897
1109.73145	, -58.9897
