1,75,18
2,51,11
3,58,18
4,58,11
5,63,17
6,62,10
7,62,8
8,62,10
9,71,13
10,75,10
11,78,17
12,78,8
13,81,15
14,73,12
15,64,10
16,57,17
17,60,17
18,54,19
19,54,15
20,57,10
21,73,20
22,69,9
23,74,10
24,70,8
25,66,13
26,65,14
27,74,9
28,70,13
29,79,24
30,82,9
31,71,19
32,70,5
33,76,9
34,83,23
35,80,18
36,82,15
37,82,14
38,75,12
39,64,12
40,72,17
41,70,21
42,65,21
43,65,9
44,66,14
45,60,17
46,64,14
47,65,10
48,66,17
49,72,12
50,74,12
51,65,14
52,61,11
53,59,11
54,57,16
55,52,13
56,61,15
57,67,17
58,63,13
59,60,7
60,70,9
61,68,13
62,65,15
63,74,8
64,75,16
65,72,15
66,67,9
67,72,12
68,61,18
69,59,14
70,57,12
71,64,18
72,64,13
73,69,15
74,69,9
75,71,17
76,74,7
77,66,11
78,76,13
79,78,16
80,71,17
81,67,12
82,72,11
83,58,15
84,61,19
85,66,9
86,61,22
87,65,13
88,79,8
89,73,15
90,78,14
91,77,8
92,65,16
93,56,13
94,62,10
95,59,18
96,60,22
97,67,10
98,64,18
99,56,9
100,57,6
101,58,13
102,62,16
103,75,15
104,74,10
105,67,13
106,69,10
107,64,8
108,53,16
109,66,11
110,70,17
111,70,23
112,77,7
113,71,9
114,69,13
115,71,12
116,75,12
117,73,20
118,78,13
119,75,13
120,79,19
121,77,6
122,70,18
123,77,15
124,75,17
125,62,17
126,61,11
127,62,15
128,59,19
129,53,15
130,65,10
131,63,18
132,58,13
133,57,6
134,60,14
135,53,11
136,56,15
137,68,7
138,68,18
139,73,12
140,77,6
141,75,14
142,70,10
143,70,11
144,69,15
145,68,18
146,71,14
147,72,15
148,74,15
149,76,13
150,88,13
